brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
107912.0,for_sale,220000.0,2,2,0.2,523793.0,Middlefield,Connecticut,06455,1439.0,
107964.0,for_sale,340000.0,4,3,1.2,254774.0,Durham,Connecticut,06422,3213.0,2003-04-09
18142.0,for_sale,159999.0,2,2,,130312.0,Middletown,Connecticut,06457,1028.0,1992-01-31
81672.0,for_sale,450000.0,5,4,0.38,1628587.0,Meriden,Connecticut,06450,2738.0,
33714.0,for_sale,384900.0,3,2,2.21,752987.0,Haddam,Connecticut,06441,2269.0,1999-01-22
84096.0,for_sale,200000.0,3,2,,196904.0,Cromwell,Connecticut,06416,1448.0,2012-11-07
15517.0,for_sale,225000.0,3,2,0.13,462761.0,Newington,Connecticut,06111,1064.0,1988-08-17
15520.0,for_sale,239999.0,3,3,,26947.0,Rocky Hill,Connecticut,06067,1707.0,2002-04-17
33503.0,for_sale,309900.0,3,3,0.15,523588.0,Newington,Connecticut,06111,1604.0,2004-05-03
22611.0,for_sale,224900.0,2,1,,1033575.0,West Hartford,Connecticut,06110,865.0,2020-08-19
10560.0,for_sale,579900.0,4,3,1.03,1548324.0,East Hampton,Connecticut,06424,2968.0,
14977.0,for_sale,689715.0,3,3,0.3,522200.0,Cromwell,Connecticut,06416,2429.0,
15366.0,for_sale,199900.0,3,3,2.63,1446634.0,East Hampton,Connecticut,06424,3148.0,2005-04-18
10555.0,for_sale,339900.0,5,5,0.76,1414299.0,New Britain,Connecticut,06052,3143.0,1998-05-12
23735.0,for_sale,89000.0,2,1,,1053037.0,New Britain,Connecticut,06051,780.0,2018-08-31
27439.0,for_sale,125000.0,,,10.5,234183.0,Whitingham,Vermont,05361,,
22611.0,for_sale,319900.0,4,5,1.56,1027910.0,Rocky Hill,Connecticut,06067,2757.0,
10582.0,for_sale,375000.0,3,3,,58695.0,Glastonbury,Connecticut,06073,2197.0,2010-02-26
15520.0,for_sale,384900.0,3,3,0.26,791085.0,Wethersfield,Connecticut,06109,1384.0,
